bishnupriya_manipuri,bengali
মি,আমি
আমি,আমরা
তি,তুমি
তুমি,তোমরা
তা,সে (পুরুষ)
তেই,সে (স্ত্রী)
ওহান,এটা
তানু,তারা
মোর,আমার
আমার,আমাদের
তোর,তোমার
তুমার,তোমাদের
তার,তার (পুরুষ)
তেইর,তার (স্ত্রী)
তানুর,তাদের
মোরে,আমাকে
আমারে,আমাদেরকে
তোরে,তোমাকে
তুমারে,তোমাদেরকে
তারে,তাকে (পুরুষ)
তেইরে,তাকে (স্ত্রী)
তানুরে,তাদেরকে
যানা,যাওয়া
আতানি,হাঁটা
দাবদানি,দৌড়ানো
বহানি,বসা
ওনা,হওয়া
কোরানি,করা
তামকোরানি,পড়া
নিংকোরানি,ভাবা
লেখানি,লেখা
মাংকোরানি,হারানো
হুনানি,শুনা
দেহানি,দেখা
ফোরদানি,উড়া
খানা,খাওয়া
পিনা,পান করা
এলাদেনা,গান করা
খেলানি,খেলা
আহানি,আসা
হিনানি,গোসল করা
বাসানি,অপেক্ষা করা
মাতানি,বলা
বেসানি,বিক্রি করা
আনানি,আনা
না,না
হাই,হ্যাঁ
চুমিসে,ঠিক আছে
শাগোতোম,স্বাগতম
বিদাই,বিদায়
আর্তাউ,আরো
হবা,ভালো
হবানেই,মন্দ
কাদা,কাছে
দুরেই,দূরে
দাঙর,বড়
হুরুকাং,ছোট
তোপতা,গরম
ইং,ঠান্ডা
চুনা,সুন্দর
সাকতি,বিশ্রী
নুওয়া,নতুন
পুরানা,পুরনো
এক,এক
দুই,দুই
তিন,তিন
চাইর,চার
পাস,পাঁচ
সয়,ছয়
সাত,সাত
আট,আট
নয়,নয়
দস,দশ
এগারো,এগারো
বারো,বারো
তেরো,তেরো
চোদ্দো,চোদ্দো
পোন্দোরো,পনেরো
সোল্লো,ষোলো
সতোরো,সতেরো
আঠারো,আঠারো
উন্নিস,উনিশ
আক্কুরি,বিশ
দিক্কুরি,চল্লিশ
য়াঙঘেই,পঞ্চাশ
তিনকুরি,ষাট
চারিকুরি,আশি
আহৌ,একশত
দিহৌ,দুইশত
পাসহৌ,পাঁচশত
লিশিং আহান,এক হাজার
দস লিশিং,দশ হাজার
লাখ আহান,এক লাখ
কুটি আহান,এক কোটি
কিসারে কিতা,কেমন আছেন
কিমে কিসাদে,কেমন আছেন
মি বোলি ইয়া আসু,আমি ভালো আছি
মি পাহুরেবেল্লু,আমি ভুলে গেছি
থাকাত,ধন্যবাদ
তোর নাংহান কিহান,তোমার নাম কী
মোর নাং আশিম,আমার নাম আশিম
বিয়ানহান ফুইল,ভোর হয়েছে
মি হারপাসু,আমি জানি
মি হারনাপাসু,আমি জানি না
মি তোরে ভানা পাউরি,আমি তোমাকে ভালোবাসি
মোরে না পাহুরিস,আমাকে ভুলো না
এহান্দে আহিক,এখানে এসো (বিনয়ের সাথে)
এহান্দে আই,এখানে এসো
ওহান্দে যাগা,ওখানে যাও
আমি যারাঙা,আমরা যাচ্ছি
তুমি যিতাওগা,তুমি যাবে
তি কুরাং থারগো,তুমি কোথায় থাকো
মি এবাকা গরে যিতৌগা,আমি এখন বাড়ি যাব
পৌ এহান চালাক্ক দিয়াবেঠা,এই সংবাদটি তাড়াতাড়ি পাঠাও
তা মোর মারুপগো,সে আমার বন্ধু
তর মেইথঙহান জবরে চুনা,তোমার চেহারা ভারি সুন্দর
তি মর লগে আহরগো,তুমি কি আমার সঙ্গে যাবে
তি ইমার ঠার জানরগো,তুমি কি বিষ্ণুপ্রিয়া মণিপুরী ভাষা জান
রবীন্দ্রনাথর ইকরা মরতা হবা লাগের,রবীন্দ্রনাথের লেখা আমার খুব ভাল লাগে
হবা লাগিল,ভাল লাগল
নিয়াম হবা লাগিল,খুব ভাল লাগল
উবাঅনি,দাঁড়ানো
গুজুরানি,বলা
আলথক অনা,ফেরা
হঙকরানি,তৈরি করা
বুলানি,বেড়ানো
নুংশি,সুগন্ধ
মুঙ,পূর্ব
পিছ,পশ্চিম
অওয়াঙ,উত্তর
খা,দক্ষিণ
গজ,উপর
তল,নিচ
